City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Yeniseyskiy,RU,2021-11-23 22:15:40,60.3725,93.0408,20.5,92,100,6.85,light snow
1,Kushmurun,KZ,2021-11-23 22:15:41,52.4503,64.6311,11.3,93,84,8.86,broken clouds
2,Palmer,US,2021-11-23 22:15:40,42.1584,-72.3287,35.46,43,20,5.99,few clouds
3,Khuzdar,PK,2021-11-23 22:15:41,27.7384,66.6434,58.89,30,0,5.77,clear sky
4,Ulladulla,AU,2021-11-23 22:06:42,-35.35,150.4667,70.88,76,100,3.96,light rain
5,Rikitea,PF,2021-11-23 22:15:42,-23.1203,-134.9692,76.89,81,30,15.01,scattered clouds
6,Touros,BR,2021-11-23 22:15:42,-5.1989,-35.4608,81.5,79,55,15.1,broken clouds
7,Albany,US,2021-11-23 22:15:43,42.6001,-73.9662,31.26,57,12,8.01,few clouds
8,Bom Jesus,BR,2021-11-23 22:11:24,-9.0744,-44.3586,77.38,78,63,3.22,broken clouds
9,Ushuaia,AR,2021-11-23 22:15:43,-54.8,-68.3,44.26,81,75,9.22,light rain
10,East London,ZA,2021-11-23 22:15:44,-33.0153,27.9116,61.39,72,72,19.46,light rain
11,Jinka,ET,2021-11-23 22:15:44,5.65,36.65,68.5,52,27,1.7,scattered clouds
12,Castro,BR,2021-11-23 22:15:44,-24.7911,-50.0119,73.18,51,52,4.99,broken clouds
13,Vanderhoof,CA,2021-11-23 22:15:45,54.0166,-124.0198,36.48,64,72,4.97,broken clouds
14,Atuona,PF,2021-11-23 22:15:45,-9.8,-139.0333,77.81,77,27,15.08,scattered clouds
15,Mataura,NZ,2021-11-23 22:12:56,-46.1927,168.8643,61.83,47,93,4.38,light rain
16,Darab,IR,2021-11-23 22:15:46,28.7519,54.5444,61.43,54,6,4.0,clear sky
17,Vaini,TO,2021-11-23 22:15:46,-21.2,-175.2,84.36,84,20,4.61,few clouds
18,Punta Arenas,CL,2021-11-23 22:12:12,-53.15,-70.9167,51.91,58,0,31.07,clear sky
19,Vila Velha,BR,2021-11-23 22:02:06,-20.3297,-40.2925,74.95,85,22,4.0,few clouds
20,Gushikawa,JP,2021-11-23 22:15:47,26.3544,127.8686,65.43,67,20,4.61,few clouds
21,Cidreira,BR,2021-11-23 22:15:47,-30.1811,-50.2056,67.14,65,1,10.94,clear sky
22,San Patricio,US,2021-11-23 22:15:47,28.017,-97.5169,77.41,48,60,10.92,broken clouds
23,Arraial Do Cabo,BR,2021-11-23 22:15:48,-22.9661,-42.0278,71.56,88,0,3.44,clear sky
24,Tuktoyaktuk,CA,2021-11-23 22:15:48,69.4541,-133.0374,-0.4,78,90,4.61,light snow
25,New Norfolk,AU,2021-11-23 22:15:49,-42.7826,147.0587,66.76,66,100,0.74,overcast clouds
26,Tevaitoa,PF,2021-11-23 22:15:49,-16.7833,-151.5,80.56,72,48,3.74,scattered clouds
27,Hovd,MN,2021-11-23 22:06:55,48.0056,91.6419,25.45,54,76,8.05,broken clouds
28,Yumen,CN,2021-11-23 22:15:49,40.2833,97.2,26.65,31,0,12.21,clear sky
29,Severo-Kurilsk,RU,2021-11-23 22:15:50,50.6789,156.125,37.49,98,100,30.6,moderate rain
30,Puerto Ayora,EC,2021-11-23 22:15:50,-0.7393,-90.3518,76.96,76,28,11.65,scattered clouds
31,Qaanaaq,GL,2021-11-23 22:15:51,77.484,-69.3632,-6.11,67,83,9.55,broken clouds
32,Sarkand,KZ,2021-11-23 22:15:51,45.41,79.9186,34.74,63,33,7.56,scattered clouds
